source,target,strength,month,weight
GUY,SUR,2.8,0,2.8
BRA,PRT,2.8,0,2.8
CUB,COL,2.8,0,2.8
BRN,USA,2.8,0,2.8
ITA,TUR,2.8,0,2.8
GRC,ARM,2.8,0,2.8
PRY,COL,2.8,0,2.8
GBR,FIN,2.8,0,2.8
DZA,EUR,2.8,0,2.8
THA,IDN,2.8,0,2.8
GBR,LKA,2.8,0,2.8
SYR,FRA,2.8,0,2.8
TUR,AUS,2.8,0,2.8
CZE,GBR,2.8,0,2.8
DNK,JOR,2.8,0,2.8
CAN,RUS,2.8,0,2.8
GTM,COL,2.8,0,2.8
DEU,HUN,2.8,0,2.8
LVA,FRA,2.8,0,2.8
IRQ,EUR,2.8,0,2.8
FRA,COL,2.8,0,2.8
USA,IRL,2.8,0,2.8
THA,OMN,2.8,0,2.8
MDV,USA,2.8,0,2.8
DNK,SAU,2.8,0,2.8
IRN,EGY,2.8,0,2.8
SAU,CHN,2.8,0,2.8
POL,WST,2.8,0,2.8
CAN,AUS,2.8,0,2.8
VNM,AUS,2.8,0,2.8
EST,GBR,2.8,0,2.8
MEX,COL,2.8,0,2.8
PAN,COL,2.8,0,2.8
PRT,BGD,2.8,0,2.8
ECU,CUB,2.8,0,2.8
SSD,UGA,2.8,0,2.8
NER,MLI,-2.8,0,2.8
DEU,CHN,2.8,0,2.8
IRN,AFG,2.8,0,2.8
SLV,CRI,2.8,0,2.8
USA,NGA,2.8,0,2.8
SWE,DNK,2.8,0,2.8
PRK,KOR,-2.744444444,0,2.744444444
FRA,BFA,2.74,0,2.74
CHN,PAK,2.735714286,0,2.735714286
CHE,AFG,2.733333333,0,2.733333333
CHE,PAK,2.733333333,0,2.733333333
CAN,AFG,2.725,0,2.725
CYP,TUR,2.725,0,2.725
DEU,USA,2.714285714,0,2.714285714
LAO,CHN,-2.7,0,2.7
MMR,THA,-2.7,0,2.7
BHR,KWT,2.671428571,0,2.671428571
ARG,GBR,2.666666667,0,2.666666667
LUX,BEL,2.666666667,0,2.666666667
USA,GBR,2.664705882,0,2.664705882
GBR,GRC,2.65,0,2.65
JOR,EUR,2.633333333,0,2.633333333
USA,KOR,2.616666667,0,2.616666667
ITA,FRA,2.6,0,2.6
CRI,SLV,2.6,0,2.6
