Actor1CountryCode,Actor2CountryCode,GoldsteinScale,Month
BGD,ECU,7.4,0
CYP,SAU,7.4,0
GHA,SYC,7.4,0
ZAF,LBR,7.4,0
LUX,BRA,7.4,0
ARG,ZAF,7.4,0
GRD,EUR,7.4,0
OMN,ASA,7.4,0
YEM,NPL,7.4,0
SYR,LTU,7.4,0
THA,CRI,7.4,0
SDN,SEN,7.4,0
CAS,RUS,7.4,0
GHA,BEL,7.4,0
VEN,ZAF,7.4,0
KWT,KHM,7.4,0
CRI,THA,7.4,0
SLV,VNM,7.4,0
NOR,ERI,7.4,0
GRC,JAM,7.4,0
ISR,CIV,7.4,0
ETH,IRL,7.4,0
AFR,KWT,7.4,0
RUS,BMU,7.4,0
MRT,YEM,7.4,0
MCO,SYR,7.4,0
ERI,LTU,7.4,0
OMN,BRN,7.4,0
LBY,MDV,7.4,0
KWT,MLT,7.4,0
CAN,BTN,7.4,0
SEA,OMN,7.4,0
LBY,IRL,7.4,0
ASA,UZB,7.4,0
SAU,LBR,7.4,0
NOR,HTI,7.4,0
BMU,HTI,7.4,0
ARE,LUX,7.4,0
MWI,EUR,7.4,0
SWE,KEN,7.4,0
CRI,BGR,7.4,0
BWA,MDV,7.4,0
NRU,KHM,7.4,0
MCO,JPN,7.4,0
SEA,EGY,7.4,0
VAT,BDI,7.4,0
NZL,PLW,7.4,0
SAS,JOR,7.4,0
YEM,TJK,7.4,0
SSD,IRQ,7.4,0
ASA,USA,7.4,0
MEX,BGD,7.4,0
EGY,MWI,7.4,0
TUN,DNK,7.4,0
VEN,ABW,7.4,0
PRT,MDV,7.4,0
BHR,BFA,-7.333333333,0
SOM,NRU,-7.333333333,0
GIN,SYR,-7.333333333,0
LCA,FJI,7.333333333,0
FJI,LCA,7.333333333,0
JOR,ZAF,-7.333333333,0
NZL,TWN,7.333333333,0
BFA,WAF,-7.3,0
FSM,USA,7.3,0
MLI,CHE,-7.267741935,0
VNM,SYR,7.266666667,0
AFG,TUN,-7.25,0
AUT,MKD,-7.25,0
IRL,SDN,-7.2,0
COG,CHN,7.2,0
SGP,COL,-7.2,0
BRA,TWN,7.2,0
SGP,PRY,-7.2,0
KHM,TCD,-7.2,0
KHM,SSD,-7.2,0
SGP,SLV,-7.2,0
AFG,TMP,-7.2,0
SGP,HTI,-7.2,0
SGP,SUR,-7.2,0
HTI,DJI,-7.2,0
TWN,NZL,7.2,0
COL,KOR,7.2,0
MNG,TUR,-7.2,0
SGP,PAN,-7.2,0
POL,TUN,-7.2,0
IRL,CAF,-7.2,0
SAU,NOR,7.2,0
BEL,TUN,7.2,0
TMP,SEA,7.2,0
KHM,SYR,-7.2,0
SGP,HND,-7.2,0
IRL,GIN,-7.2,0
SGP,VEN,-7.2,0
TCD,ARE,-7.2,0
KAZ,AFG,7.2,0
SGP,GTM,-7.2,0
IRL,MWI,-7.2,0
WST,BLR,-7.2,0
AZE,TJK,7.2,0
ERI,VAT,-7.166666667,0
SWE,ZMB,7.133333333,0
UKR,IRN,7.133333333,0
ARE,NAM,-7.1,0
AUS,YEM,-7.066666667,0
BFA,CAN,-7.044578313,0
KEN,DJI,7.033333333,0
NGA,SYR,-7.025,0
BRA,LTU,7,0
JOR,DJI,7,0
WST,HUN,7,0
MOZ,ETH,7,0
THA,YEM,7,0
ZWE,RWA,7,0
NIC,NLD,7,0
BDI,BEN,7,0
HTI,ITA,7,0
FRA,COD,7,0
LBR,MWI,7,0
SVK,SYR,7,0
IDN,MCO,7,0
BGR,FIN,7,0
BHS,ECU,7,0
AGO,ESP,-7,0
IDN,PNG,7,0
NRU,SOM,7,0
GAB,AGO,7,0
AUT,LVA,7,0
OMN,IRQ,7,0
ARE,UGA,7,0
RUS,BFA,-7,0
SLB,THA,7,0
MKD,TUR,7,0
THA,KIR,7,0
IRQ,ALB,7,0
EST,ALB,7,0
PRY,ISR,7,0
MYS,COL,7,0
BFA,TGO,7,0
MLI,GMB,7,0
SEN,LBR,7,0
UKR,ARG,7,0
AFR,SLV,7,0
NAM,THA,7,0
GRD,SYR,7,0
BRB,CRB,7,0
MDG,AUS,7,0
MEA,FRA,7,0
TCD,LBR,7,0
SWE,BWA,7,0
MDA,ARM,7,0
USA,TGO,7,0
LBY,AUT,7,0
FSM,THA,7,0
CHL,AFR,7,0
PHL,LBN,7,0
LKA,GAB,7,0
ISL,IRN,7,0
EGY,SAF,7,0
AGO,MWI,7,0
BRA,FIN,7,0
VEN,ITA,7,0
PGS,DJI,7,0
AUS,AZE,7,0
GRC,MYS,7,0
SAU,CYM,7,0
NZL,FIN,7,0
FJI,THA,7,0
DJI,PGS,7,0
ZMB,EUR,7,0
KOR,IRL,7,0
RUS,GUY,7,0
SYR,GRD,7,0
KOR,MCO,7,0
HKG,AUS,7,0
AUS,TTO,7,0
ZAF,BGR,7,0
SRB,ARE,7,0
BWA,GHA,7,0
ZMB,LKA,7,0
VAT,ERI,7,0
POL,KEN,7,0
DNK,KHM,7,0
THA,MHL,7,0
AGO,GNQ,7,0
VEN,DMA,7,0
TUN,GIN,7,0
RWA,ZWE,7,0
ZWE,MCO,-7,0
KNA,NGA,7,0
NLD,MOZ,7,0
MDG,ETH,7,0
GAB,LKA,7,0
CMR,AGO,7,0
BDI,JAM,7,0
CHE,NAM,7,0
ARG,NMR,7,0
FIN,SGP,7,0
